key,code,moment,start-duration,end-duration,amount,type,email,link,draft-mode,key:project,key:sponsor
sponsorship-09-02,AYC-123,2020/07/29 15:30,2020/07/29 15:31,2020/08/29 15:31,EUR 1500.50,Financial,mysponsorship@email.com,http://www.sponsorshipopportunity.com,false,project-01,sponsor-01
sponsorship-09-03,AXC-123,2020/07/29 15:30,2020/07/29 15:31,2020/08/29 15:32,EUR 1500.50,Financial,mysponsorship@email.com,http://www.sponsorshipopportunity.com,false,project-01,sponsor-01
sponsorship-10,ABC-128,2020/07/29 15:30,2020/07/29 15:31,2020/10/29 15:30,EUR 0.00,Financial,mysponsorship@email.com,http://www.sponsorshipopportunity.com,false,project-01,sponsor-01
sponsorship-11,ABC-129,2020/07/29 15:30,2020/07/29 15:31,2020/10/29 15:30,EUR 0.01,Financial,mysponsorship@email.com,http://www.sponsorshipopportunity.com,false,project-01,sponsor-01
sponsorship-12,ABC-130,2020/07/29 15:30,2020/07/29 15:31,2020/10/29 15:30,EUR 999999.99,Financial,mysponsorship@email.com,http://www.sponsorshipopportunity.com,false,project-01,sponsor-01
sponsorship-13,ABC-131,2020/07/29 15:30,2020/07/29 15:31,2020/10/29 15:30,EUR 1000000,Financial,mysponsorship@email.com,http://www.sponsorshipopportunity.com,false,project-01,sponsor-01
sponsorship-14,ABC-132,2020/07/29 15:30,2020/07/29 15:31,2020/10/29 15:30,USD 1500.50,Financial,mysponsorship@email.com,http://www.sponsorshipopportunity.com,false,project-01,sponsor-01
sponsorship-15,ABC-133,2020/07/29 15:30,2020/07/29 15:31,2020/10/29 15:30,EUR 1500.50,Inkind,mysponsorship@email.com,http://www.sponsorshipopportunity.com,false,project-01,sponsor-01
sponsorship-16,ABC-134,2020/07/29 15:30,2020/07/29 15:31,2020/10/29 15:30,EUR 1500.50,Financial,,http://www.sponsorshipopportunity.com,false,project-01,sponsor-01
sponsorship-17,ABC-135,2020/07/29 15:30,2020/07/29 15:31,2020/10/29 15:30,EUR 1500.50,Financial,a@b.co,http://www.sponsorshipopportunity.com,false,project-01,sponsor-01
sponsorship-18,ABC-136,2020/07/29 15:30,2020/07/29 15:31,2020/10/29 15:30,EUR 1500.50,Financial,sponsorejemplodelimitesuperiormenosunoooooooooooooooooooooooooo@email.com,http://www.sponsorshipopportunity.com,false,project-01,sponsor-01
sponsorship-19,ABC-137,2020/07/29 15:30,2020/07/29 15:31,2020/10/29 15:30,EUR 1500.50,Financial,sponsorejemplodelimitesuperiormenosunooooooooooooooooooooooooooo@email.com,http://www.sponsorshipopportunity.com,false,project-01,sponsor-01
sponsorship-20,ABC-138,2020/07/29 15:30,2020/07/29 15:31,2020/10/29 15:30,EUR 1500.50,Financial,mysponsorship@email.com,,false,project-01,sponsor-01
sponsorship-21,ABC-139,2020/07/29 15:30,2020/07/29 15:31,2020/10/29 15:30,EUR 1500.50,Financial,mysponsorship@email.com,http://a.b,false,project-01,sponsor-01
sponsorship-22,ABC-140,2020/07/29 15:30,2020/07/29 15:31,2020/10/29 15:30,EUR 1500.50,Financial,mysponsorship@email.com,http://www.example.com/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,false,project-01,sponsor-01
sponsorship-23,ABC-141,2020/07/29 15:30,2020/07/29 15:31,2020/10/29 15:30,EUR 1500.50,Financial,mysponsorship@email.com,http://www.example.com/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,false,project-01,sponsor-01
sponsorship-23-01,ZBC-123,2020/07/29 15:30,2020/07/29 15:31,2020/10/29 15:30,EUR 1500.50,Financial,mysponsorship@email.com,http://website.com/recursos,false,project-01,sponsor-01
sponsorship-23-02,YBC-123,2020/07/29 15:30,2020/07/29 15:31,2020/10/29 15:30,EUR 1500.50,Financial,mysponsorship@email.com,http://website.com?active=true,false,project-01,sponsor-01
sponsorship-23-03,AZC-123,2020/07/29 15:30,2020/07/29 15:31,2020/10/29 15:30,EUR 1500.50,Financial,mysponsorship@email.com,http://www.sponsorshipopportunity.com,true,project-01,sponsor-01
sponsorship-23-04,RZC-123,2020/07/29 15:30,2020/07/29 15:31,2020/10/29 15:30,EUR 1500.50,Financial,mysponsorship@email.com,http://www.sponsorshipopportunity.com,true,project-01,sponsor-01
sponsorship-24,ABC-142,2020/07/29 15:30,2020/07/29 15:31,2020/10/29 15:30,EUR 1500.50,Financial,mysponsorship@email.com,http://www.sponsorshipopportunity.com,false,project-02,sponsor-01
sponsorship-25,ABC-143,2020/07/29 15:30,2020/07/29 15:31,2020/10/29 15:30,EUR 1500.50,Financial,mysponsorship@email.com,http://www.sponsorshipopportunity.com,false,project-01,sponsor-02
