key,code,instantiation_moment,heading,description,department,email,link
claim-17,C-1246,2020/07/29 15:30,Hello World,Upgrade server infrastructure to ensure high availability and rapid response times during peak usage,Marketing,claimer01@email.com,http://claiming.com
claim-18,C-1247,2020/07/29 15:30,Hello World, Esto es una descripcion de tamaño medio para probar el funcionamiento.,M,claimer01@email.com,http://claiming.com
claim-19,C-1248,2020/07/29 15:30,Hello World, Esto es una descripcion de tamaño medio para probar el funcionamiento.,Mk,claimer01@email.com,http://claiming.com
claim-20,C-1249,2020/07/29 15:30,Hello World, Esto es una descripcion de tamaño medio para probar el funcionamiento.,Upgrade server infrastructure to ensure high availability and rapid response times during peak usag,claimer01@email.com,http://claiming.com
claim-21,C-1250,2020/07/29 15:30,Hello World, Esto es una descripcion de tamaño medio para probar el funcionamiento.,Upgrade server infrastructure to ensure high availability and rapid response times during peak usage,claimer01@email.com,http://claiming.com
claim-22,C-1251,2020/07/29 15:30,Hello World, Esto es una descripcion de tamaño medio para probar el funcionamiento.,Marketing,,http://claiming.com
claim-23,C-1252,2020/07/29 15:30,Hello World, Esto es una descripcion de tamaño medio para probar el funcionamiento.,Marketing,a@b.co,http://claiming.com
claim-24,C-1253,2020/07/29 15:30,Hello World, Esto es una descripcion de tamaño medio para probar el funcionamiento.,Marketing,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa@emaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaail.com,http://claiming.com
claim-25,C-1254,2020/07/29 15:30,Hello World, Esto es una descripcion de tamaño medio para probar el funcionamiento.,Marketing,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa@emaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaail.com,http://claiming.com
claim-26,C-1255,2020/07/29 15:30,Hello World, Esto es una descripcion de tamaño medio para probar el funcionamiento.,Marketing,claimer01@email.com,
claim-27,C-1256,2020/07/29 15:30,Hello World, Esto es una descripcion de tamaño medio para probar el funcionamiento.,Marketing,claimer01@email.com,http://a.b
claim-28,C-1257,2020/07/29 15:30,Hello World, Esto es una descripcion de tamaño medio para probar el funcionamiento.,Marketing,claimer01@email.com,http://www.example.com/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
claim-29,C-1258,2020/07/29 15:30,Hello World, Esto es una descripcion de tamaño medio para probar el funcionamiento.,Marketing,claimer01@email.com,http://www.example.com/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
